"word","freq"
"신도시",60530
"아파트",52009
"아울렛",40143
"연수",37747
"빌라",36845
"신축",36626
"분양",34508
"서울경기",31099
"맛집",40196
"공원",29478
"오피스텔",29418
"월세",24520
"위치",20687
"센트럴",19889
"추천",13665
"시간",12570
"사진",11890
"전문",11735
"전세",11610
"방문",11530
"주말",11529
"우리",11501
"논현",11447
"신축빌라",11407
"호텔",11258
"이번",10629
"가능",10600
"소개",10567
"친구",10269
"카페",9729
"상가",9465
"전화",9276
"청라",8863
"지역",8431
"캠퍼스",8140
"구월동",8121
"생각",7828
"워크",7782
"날씨",7626
"시작",7576
"여행",7446
"오픈",7446
"사람",7442
"구요",7330
"서울",7227
"진행",7227
"가격",7226
"저녁",7178
"김포",7156
"부천",7075
"상세",7072
"정보",6881
"유명",6831
"부동산",6787
"저희",6622
"가족",6608
"일상",6597
"의원",6586
"부평",6154
"시",6065
"인테리어",5950
"장소",5930
"아이",5911
"점심",5700
"하나",5671
"근처",5641
"분위기",5641
"오랜만",5639
"나",5567
"매매",5544
"센터",5532
"음식",5451
"여름",5448
"일산",5437
"옥련동",5430
"커넬",5371
"축제",5321
"데이트",5272
"대출",5271
"때문",5227
"거리",5210
"상담",5153
"치료",5139
"글로벌",5123
"도시",5110
"경기",5016
"준비",5009
"하시",5006
"다양",4906
"정도",4900
"최고",4887
"보기",4845
"타운",4829
"투자",4825
"엄마",4823
"얼마",4779
"주안",4691
"입주",4674
"이상",4656
"사랑",4633
"예정",4630
"국제",4629
"경매",4611
"이용",4611
"건물",4605
"하루",4566
"행복",4494
"도착",4465
"광명",4444
"쇼핑",4419
"어제",4409
"여기",4370
"아침",4339
"수원",4324
"시흥",4322
"메뉴",4296
"꽃집",4223
"진짜",4215
"예약",4205
"매장",4203
"남동구",4199
"학원",4199
"영어",4174
"운동",4112
"보험",4092
"커피",4067
"바람",4064
"고객",4060
"소식",4054
"실비",4010
"촬영",3966
"병원",3962
"고급",3960
"자동차",3949
"강남",3927
"저렴",3908
"계산동",3889
"영종도",3881
"동춘동",3868
"자리",3843
"임대",3827
"이곳",3807
"더샵",3804
"코스",3770
"관리",3747
"주변",3734
"구경",3703
"선학",3701
"수리",3700
"개발",3692
"현장",3681
"시티",3672
"설치",3663
"석동",3608
"운전",3600
"이야기",3595
"모습",3593
"입구",3588
"마지막",3585
"시공",3580
"아이들",3575
"선물",3563
"전망",3537
"안내",3520
"깔끔",3503
"의료",3492
"야경",3481
"행사",3471
"지하",3459
"복합",3434
"마을",3407
"고민",3405
"식당",3397
"맥주",3388
"안산",3388
"시장",3381
"마음",3365
"오후",3345
"이벤트",3343
"방법",3315
"이동",3312
"가입",3308
"푸르지오",3302
"주택",3288
"주문",3273
"세계",3267
"수업",3259
"사실",3250
"피부",3246
"갈비",3206
"유원지",3194
"의정",3191
"페스티벌",3175
"산책",3167
"국제도시",3154
"판교",3149
"역세권",3128
"원룸",3127
"돌잔치",3126
"무료",3124
"서비스",3124
"베이비",3105
"중고",3095
"수도권",3092
"건강",3071
"다음",3058
"가지",3039
"단지",3038
"완전",3023
"번째",3004
"서구",2997
"청학",2981
"어린이",2967
"컨벤시아",2957
"아기",2945
"기분",2942
"식사",2941
"학교",2923
"이사",2895
"보장",2864
"토요일",2840
"페어",2839
"일요일",2836
"인근",2835
"비용",2825
"인기",2824
"회사",2823
"사업",2822
"필요",2819
"소사",2816
"퍼스트",2807
"개최",2805
"중동",2803
"이름",2796
"지점",2794
"바다",2792
"검색",2772
"홍대",2771
"호반",2768
"대리",2767
"확인",2767
"안동",2755
"은행",2746
"디자인",2744
"비교",2742
"목동",2741
"포스팅",2741
"관련",2740
"겨울",2736
"생일",2729
"동네",2715
"문화",2711
"물건",2708
"한옥",2708
"삼성",2703
"타워",2697
"버스",2685
"분당",2685
"공사",2679
"기업",2671
"만족",2643
"남자",2636
"개통",2630
"부평구",2626
"신혼",2619
"검단",2614
"동안",2609
"주소",2604
"오전",2601
"월드",2591
"전국",2587
"매물",2584
"생활",2582
"출발",2582
"하늘",2579
"상품",2567
"중구",2567
"사용",2544
"요리",2541
"여성",2537
"케이크",2524
"운영",2513
"시원",2503
"센토피아",2501
"출장",2489
"언제",2488
"예전",2488
"플라워",2484
"강화",2471
"언니",2467
"궁금",2462
"주차",2445
"판매",2444
"차량",2436
"관심",2423
"공항",2419
"사무실",2416
"아트",2416
"개월",2414
"코스트",2407
"선택",2396
"교육",2393
"레스토랑",2389
"작업",2389
"오크우드",2374
"용현동",2373
"아빠",2370
"어디",2369
"규모",2366
"고고",2361
"모임",2359
"다이어트",2348
"올해",2343
"웨딩",2340
"이유",2336
"국내",2310
"테라스",2308
"마포구",2307
"쉐라톤",2305
"가정",2300
"업체",2292
"가구",2282
"남양주",2266
"청소",2265
"대학교",2263
"소래",2259
"베르디움",2258
"문학",2234
"중심",2215
"특별",2204
"지원",2189
"파주",2180
"여자",2173
"남구",2165
"심곡",2164
"처음",2162
"상태",2148
"학생",2145
"일정",2141
"대표",2140
"동탄",2135
"저번",2135
"예요",2118
"미래",2111
"따뜻",2106
"화성",2102
"수제",2099
"산곡",2092
"내용",2091
"감사",2084
"연결",2083
"공간",2079
"트리플",2066
"남편",2063
"라마",2054
"부평동",2054
"교체",2051
"다들",2044
"오빠",2044
"여러분",2030
"영화",2026
"신청",2024
"부부",2023
"주차장",2022
"경우",2016
"신랑",2007
"번호",2004
"디저트",2000
"지구",1999
"포구",1994
"사이드",1987
"대학",1986
"경제",1981
"파티",1981
"직장",1978
"산업",1977
"조건",1974
"할인",1972
"근데",1965
"아래",1955
"계획",1953
"유리",1947
"작전",1945
"내부",1942
"주상",1939
"추가",1939
"마련",1933
"지하철",1926
"일반",1916
"그린",1915
"구매",1893
"스타일",1893
"중국",1885
"사이",1875
"뷔페",1868
"대박",1852
"분양권",1847
"클래스",1839
"동생",1837
"노선",1836
"발산",1826
"남동공단",1825
"매력",1823
"안전",1815
"방화",1814
"연세",1814
"오산",1814
"한국",1804
"진료",1796
